product,md_one,md_two,md_three,md_four,md_five,new_srp
0373044-8,0,0,0,0,,0
0373045-9,4200,0,0,0,,0
0373046-9,0,0,0,0,,0
0373047-9,0,0,0,0,,0
0373048-7,3000,0,0,0,,0
0373049-8,2000,0,0,0,,0
0373050-8,2000,0,0,0,,0
0373115-6,2200,0,0,0,,0
0373116-6,3000,2200,0,0,,0
0373117-6,3000,2200,0,0,,0
0373118-6,3000,2200,2000,0,,0
0373119-6,3000,2200,0,0,,0
0373120-6,3000,2200,2000,0,,0
0373121-4,2000,0,0,0,,0
0373122-4,2800,2000,0,0,,0
0373123-4,0,0,0,0,,0
0373124-4,2000,0,0,0,,0
0373125-4,0,0,0,0,,0
0373126-4,2800,2000,0,0,,0
0373132-4,0,0,0,0,,2995
0373132-4-1,1999.75,0,0,0,,2995
0373135-4,0,0,0,0,,2995
0373136-4,0,0,0,0,,2995
0373137-4,1900,0,0,0,,2995
0373137-4N,1500,0,0,0,,1999.75
0373138-4,0,0,0,0,,2995
0373138-4N,1500,0,0,0,,1999.75
0373139-4,2000,2000,0,0,,0
0373140-4,2000,0,0,0,,0
0373141-4,2000,0,0,0,,0
0373142-4,2000,2000,0,0,,0
0373143-4,0,0,0,0,,0
0373144-4,2000,2000,899,0,,0
0373145-4,0,0,0,0,,0
0373146-4,2000,2000,0,0,,0
0373147-12,0,0,0,0,,11950
0373147-12N3,0,0,0,0,,7995
0373148-12N3,6500,0,0,0,,7995
0373149-12,6500,0,0,0,,11950
0373149-12N3,6500,5999.88,3900,0,,7995
0373150-11,0,0,0,0,,0
0373151-11,0,0,0,0,,0
0373162-1,0,0,0,0,,0
0373163-2,0,0,0,0,,0
0373164-2,0,0,0,0,,0
0373337-15,0,0,0,0,,0
0373407-5G,1000,0,0,0,,0
0373413-5G,1000,0,0,0,,0
0373423-5,1200,800,0,0,,999.75
0373424-5,1200,1200,0,0,,0
0373433-5,0,0,0,0,,1499
0373441-4,600,400,0,0,,0
0373442-4,600,0,0,0,,0
0373443-4,0,0,0,0,,0
0373446-4,0,0,0,0,,0
0373450-4,0,0,0,0,,0
0373808-11NS,0,0,0,0,,0
0373891-12,4000,3200,0,0,,0
0373892-12,4000,3200,0,0,,0
0373895-12,4000,3200,0,0,,0
0373897-11,0,0,0,0,,0
0373898-11,0,0,0,0,,0
0373899-11,0,0,0,0,,0
0373900-11,0,0,0,0,,0
0373901-8,0,0,0,0,,0
0373902-8,0,0,0,0,,0
0373904-8,0,0,0,0,,0
0373905-7,0,0,0,0,,0
0373907-10,0,0,0,0,,0
0373909-9,0,0,0,0,,0
0373938-13,4000,0,0,0,,0
0374045-6,1200,0,0,0,,0
0374047-22,0,0,0,0,,0
0374052-8,2500,0,0,0,,3299.75
0374055-9,0,0,0,0,,0
0374100-12,0,0,0,0,,0
0374101-12,0,0,0,0,,0
0374103-12,0,0,0,0,,0
0374104-12,3997.5,0,0,0,,0
0374105-12,0,0,0,0,,0
0374106-8,1500,0,0,0,,0
0374107-8,2000,0,0,0,,0
0374117-5,0,0,0,0,,1299
0374122-6,0,0,0,0,,0
0374123-6,0,0,0,0,,0
0374268-4,1200,0,0,0,,1799.75
0374269-4,1200,999.88,0,0,,1799.75
0374270-4,1200,999.88,0,0,,1799.75
0374271-4,1200,999.875,0,0,,1799.75
0374273-10,4000,3500,3000,3000,,5499.75
0374291-7,0,0,0,0,,0
0374293-7,0,0,0,0,,0
0374294-7,1500,1500,0,0,,0
0374297-7,1500,1500,0,0,,0
0374298-7,1500,0,0,0,,0
0374299-7,0,0,0,0,,0
037509-8,0,0,0,0,,0
037677-16,0,0,0,0,,0
037684-16,0,0,0,0,,0
037693-16,3000,0,0,0,,0
037707-9,0,0,0,0,,0
037708-9,0,0,0,0,,0
037835-9,0,0,0,0,,0
037836-6,0,0,0,0,,0
037837-6,0,0,0,0,,0
0381193-6,0,0,0,0,,1499
0381195-6,0,0,0,0,,1499
0381196-6,0,0,0,0,,1499
0381197-6,0,0,0,0,,1499
0381201-6,0,0,0,0,,1499
0381201-7NF,0,0,0,0,,1799.75
0381202-6,0,0,0,0,,1499
0381202-7NF,0,0,0,0,,1799.75
0381373-10,0,0,0,0,,2799.75
0381374-10,0,0,0,0,,2799.75
0381376-10,0,0,0,0,,2799.75
0381378-10,0,0,0,0,,2799.75
0381381-10,0,0,0,0,,2799.75
0381386-10,2000,0,0,0,,3299.75
0381387-10,0,0,0,0,,3299.75
0381388-10,0,0,0,0,,0
0381389-10,0,0,0,0,,3299.75
0381879-7,1800,0,0,0,,1999.75
0381880-7,0,0,0,0,,1999.75
0381881-7,0,0,0,0,,1999.75
0381883-4,800,0,0,0,,1599.75
0381885-4,800,0,0,                       ,,1599.75
0381886-4,800,800,0,0,,1599.75
0381887-4,800,0,0,0,,1599.75
0381888-4,800,0,0,0,,1599.75
0381889-4,800,0,0,0,,1599.75
0381890-4,800,0,0,0,,1599.75
0382170-9,2000,1800,0,0,,0
0382171-9,2000,1800,0,0,,0
0382172-9,2000,1800,0,0,,0
0382173-9,2000,1800,0,0,,0
0382175-9,2000,1800,0,0,,0
0382178-9,2000,1800,0,0,,0
0382179-9,2300,1499.75,0,0,,1499
0382180-9,2300,1500,0,0,,0
0382181-9,2300,1499.75,0,0,,1499
0382182-9,2300,2300,1499.75,1500,,0
0382184-9,2300,1499.75,0,0,,1499
0382193-6,0,0,0,0,,0
0382667-6,0,0,0,0,,0
0382669-6,0,0,0,0,,0
0382672-6,0,0,0,0,,1799.75
0382996-2,0,0,0,0,,0
0382998-2,0,0,0,0,,0
0383005-2,0,0,0,0,,0
0383015-2,200,0,0,0,,0
0383074-4,0,0,0,0,,0
0383207-13ND,4500,2999.88,0,0,,0
