id,Product/Name,Partner Store,Location/Full Location Name,Quantity
,1324003-12,OH Pampanga,OHPAM/Stock,1.00
,124055-10,OH Pampanga,OHPAM/Stock,1.00
,124048-10,OH Pampanga,OHPAM/Stock,1.00
,124049-10,OH Pampanga,OHPAM/Stock,1.00
,124056-10,OH Pampanga,OHPAM/Stock,1.00
,D21035-20G,OH Pampanga,OHPAM/Stock,1.00
,C22002-4,OH Pampanga,OHPAM/Stock,1.00
,123298-10,OH Pampanga,OHPAM/Stock,1.00
,1324141-15,OH Pampanga,OHPAM/Stock,1.00
,1324143-15,OH Pampanga,OHPAM/Stock,1.00
,1324156-15,OH Pampanga,OHPAM/Stock,1.00
,123325-10,SMH Pampanga,SMHPA/Stock,1.00
,W22076-12,SMH Pampanga,SMHPA/Stock,1.00
,W21694-12,SMH Pampanga,SMHPA/Stock,1.00
,824006-5,SMH Pampanga,SMHPA/Stock,2.00
,824007-5,SMH Pampanga,SMHPA/Stock,3.00
,122040-8,SMH Pampanga,SMHPA/Stock,1.00
,122041-10,SMH Pampanga,SMHPA/Stock,1.00
,1322069-10,SMH Pampanga,SMHPA/Stock,1.00
,1324050-7,SMH Pampanga,SMHPA/Stock,1.00
,D18138-14,SMH Pampanga,SMHPA/Stock,2.00
,1123039-1,OH Urdaneta,OHURD/Stock,2.00
,124055-10,OH Urdaneta,OHURD/Stock,1.00
,124011-12,OH Urdaneta,OHURD/Stock,1.00
,124048-10,OH Urdaneta,OHURD/Stock,1.00
,124049-10,OH Urdaneta,OHURD/Stock,1.00
,124056-10,OH Urdaneta,OHURD/Stock,1.00
,D21035-20G,OH Urdaneta,OHURD/Stock,1.00
,1123041-1,OH Urdaneta,OHURD/Stock,1.00
,123297-10,OH Urdaneta,OHURD/Stock,1.00
,1324160-15,OH Urdaneta,OHURD/Stock,1.00
,1324141-15,OH Urdaneta,OHURD/Stock,1.00
,1324156-15,OH Urdaneta,OHURD/Stock,1.00
,123093-4,OH Urdaneta,OHURD/Stock,2.00
,123099-3,OH Urdaneta,OHURD/Stock,3.00
,1324006-10,OH Fairview,OHFV/Stock,2.00
,1324052-10,OH Fairview,OHFV/Stock,2.00
,D21017-7,OH Fairview,OHFV/Stock,1.00
,1324141-15,OH Fairview,OHFV/Stock,1.00
,1324156-15,OH Fairview,OHFV/Stock,1.00
,M1703-19,OH Fairview,OHFV/Stock,1.00
,1223056-1,OH Fairview,OHFV/Stock,1.00
,M21057-12,OH Baguio,OHBAG/Stock,2.00
,924069-1,OH Baguio,OHBAG/Stock,1.00
,1324194-8,OH North Edsa,OHNE/Stock,1.00
,123117-12,SMH Las Pinas,SMHLP/Stock,1.00
,124085-12,SMH Las Pinas,SMHLP/Stock,1.00
,123354-10,SMH Las Pinas,SMHLP/Stock,1.00
,123356-10,SMH Las Pinas,SMHLP/Stock,1.00
,D21062-7N,SMH Las Pinas,SMHLP/Stock,1.00
,1322070-10,SMH Las Pinas,SMHLP/Stock,1.00
,W21355-8,SMH Las Pinas,SMHLP/Stock,1.00
,W21360-8,SMH Las Pinas,SMHLP/Stock,1.00
,1323084-13,SMH Las Pinas,SMHLP/Stock,1.00
,1324046-7,SMH Las Pinas,SMHLP/Stock,1.00
,1324143-15,OH Dasma,OHDAS/Stock,1.00
,1324156-15,OH Dasma,OHDAS/Stock,1.00
,1324003-12,OH Dasma,OHDAS/Stock,1.00
,124049-10,OH Dasma,OHDAS/Stock,1.00
,124056-10,OH Dasma,OHDAS/Stock,1.00
,124057-10,OH Dasma,OHDAS/Stock,1.00
,D21017-7,OH Dasma,OHDAS/Stock,1.00
,123116-7,SMH Mandurriao,SMHMD/Stock,2.00
,123118-7,SMH Mandurriao,SMHMD/Stock,2.00
,123120-12,SMH Mandurriao,SMHMD/Stock,1.00
,124085-12,SMH Mandurriao,SMHMD/Stock,2.00
