Product,OH SKU,OH SRP,SMH SKU,SMH PRICE
1324193-10,203039235691,4999,0,0
1324192-8,203039235690,2999,0,0
124044-15,203039235693,14999,0,0
124042-16,203039235692,14999,0,0
524010-4,203039235689,2999,0,0
524009-4,203039235689,2999,0,0
524007-4,203039235688,2999,0,0
524008-4,203039235688,2999,0,0
524004-6,203039235686,4999,0,0
524002-6,203039235687,5999,0,0
924091-3,203039235697,1299,0,0
924090-5,203039235696,1799,0,0
924026-2,203039235695,899,0,0
924025-3,203039235694,999,0,0
1123135-1,203039229251,6999.75,0,0
1123134-1,203039229251,6999.75,0,0
1123137-1,203039229251,6999.75,0,0
1123136-1,203039229251,6999.75,0,0
T21011-1,203039223910,2999.75,0,0
T21010-1,203039208864,2299.75,0,0
T21005-2,203039208864,2299.75,0,0
T19149-1,203039229250,5999.75,0,0
1123049-1,203039229251,6999.75,0,0
124079-10,203039233034,18999,0,0
123415-12,203039235166,11999,0,0
924024-3,203039235384,2999,0,0
924023-3,203039235384,2999,0,0
924021-2,203039235386,2999,0,0
924020-2,203039235386,2999,0,0
924011-3,203039235385,2999,0,0
924010-3,203039235385,2999,0,0
924009-3,203039235385,2999,0,0
924008-3,203039235385,2999,0,0
924007-3,203039235385,2999,0,0
924018-2,203039235386,2999,0,0
924015-3,203039235385,2999,0,0
924022-3,203039235384,2999,0,0
1324019-7,203039235409,4999,0,0
1324057-7,203039235408,4999,0,0
M1761-29,203039195551,12999.75,0,0
M1761-19,203039112647,7999.75,0,0
501869-14,203039202876,14999.75,0,0
1123128-1,203039234731,2299,0,0
1123142-1,203039235268,2999,0,0
1123141-1,203039235267,3999,0,0
1123140-2,203039235266,5999,0,0
1124001-1,203039234731,2299,0,0
T19133-2,203039229253,6999.75,0,0
M1719-12,203039129016,3999.75,0,0
M1721-12,203039129014,3999.75,0,0
1324010-20,203039235095,12999,0,0
1324054-20,203039235094,12999,0,0
1324009-7,203039235093,5999,0,0
1324011-10,203039235092,7999,0,0
1324053-7,203039235091,5999,0,0
123367-15,203039235086,12999,0,0
123366-15,203039235085,12999,0,0
123365-15,203039235084,12999,0,0
123434-12,203039235090,11999,0,0
923032-2,203039235083,2999,0,0
923031-2,203039235082,2999,0,0
SD21052-10,203039230219,4999,0,0
D16594-13,203039183923,8499.88,0,0
1322041-8,203039227742,2299,0,0
1123129-1,203039234732,2299,0,0
1123127-1,203039234731,2299,0,0
1323139-12,203039194345,7999.75,0,0
1323137-12,203039194345,7999.75,0,0
123329-24,203039231321,22999,0,0
123328-24,203039231321,22999,0,0
123327-24,203039231321,22999,0,0
1322079-8,203039227733,2299,0,0
1175125-13,203039223725,17999.75,0,0
1175116-10,203039230979,12999,0,0
1323135-12,203039233035,9999,0,0
123301-12,203039230981,8999,0,0
1123130-1,203039234733,2299,0,0
W18191-8,203039193632,1999.88,0,0
5021122-10,203039183923,8499.88,0,0
123432-20,203039226633,22999.75,0,0
123312-23,203039234723,29999,0,0
123310-13,203039234721,19999,0,0
123306-13,203039234720,19999,0,0
123305-10,203039234722,14999,0,0
123336-20,203039234819,14999,0,0
123331-15,203039234820,12999,0,0
123404-10,203039234718,9999,0,0
923034-3,203039234730,3999,0,0
923033-3,203039234729,3999,0,0
1124003-1,203039234733,2299,0,0
1124002-1,203039234732,2299,0,0
1123126-1,203039234731,2299,0,0
1123122-1M,203039234717,1799,0,0
1123122-1L,203039234716,2799,0,0
1223102-2,203039234715,2299,0,0
1223101-3,203039234714,2799,0,0
523005-4,203039234713,3999,0,0
523004-6,203039234712,4999,0,0
523003-7,203039234711,4999,0,0
T1730-1,203039160306,1299.75,0,0
T16305-1WH,203039193608,1499.88,0,0
822003-12,203039129022,3999.75,0,0
523006-10,203039160205,7999.75,0,0
523002-8,203039186973,5999.75,0,0
523001-8,203039186973,5999.75,0,0
