id,Product/Name,Partner Store,Location/Full Location Name,Quantity
,1324271-8,SMH Mandurriao,SMHMD/Stock,1
,124154-10,SMH Mandurriao,SMHMD/Stock,1
,M1625-12,SMH Mandurriao,SMHMD/Stock,1
,M1653-12,SMH Mandurriao,SMHMD/Stock,1
,123506-4,OH Clark,OHCLK/Stock,1
,M1952-18,OH Mall of Asia,OHMOA/Stock,1
,124156-10,OH Urdaneta,OHURD/Stock,1
,D21063-7G,OH North Edsa,OHNE/Stock,2
,W21359-8,SMH North Edsa,SMHNE/Stock,2
,W21361-8,SMH North Edsa,SMHNE/Stock,1
,1325069-12,SMH North Edsa,SMHNE/Stock,1
,1325071-12,SMH North Edsa,SMHNE/Stock,1
,W21694-12,SMH North Edsa,SMHNE/Stock,2
,1322104-13,SMH North Edsa,SMHNE/Stock,2
,1323055-13,SMH North Edsa,SMHNE/Stock,1
,1123122-1L,OH Mall of Asia,OHMOA/Stock,2
,M1625-19,OH Mall of Asia,OHMOA/Stock,1
,923033-3,OH Mall of Asia,OHMOA/Stock,1
,1336324-18,SMH North Edsa,SMHNE/Stock,1
,825006-12,SMH Ortigas,SMHOR/Stock,2
,825007-19,SMH Ortigas,SMHOR/Stock,2
,1323103-13,SMH Ortigas,SMHOR/Stock,1
,1323105-13,SMH Ortigas,SMHOR/Stock,1
,124154-10,SMH Ortigas,SMHOR/Stock,1
,1323098-13,SMH Ortigas,SMHOR/Stock,1
,1324132-20 ,SMH Ortigas,SMHOR/Stock,1
,1324133-20,SMH Ortigas,SMHOR/Stock,1
,124152-10,SMH Ortigas,SMHOR/Stock,1
,124087-10,SMH Ortigas,SMHOR/Stock,1
,123313-6,SMH Ortigas,SMHOR/Stock,1
,123314-6,SMH Ortigas,SMHOR/Stock,1
,123315-6,SMH Ortigas,SMHOR/Stock,1
,124012-12,SMH Ortigas,SMHOR/Stock,1
,124019-12,SMH Ortigas,SMHOR/Stock,1
,124050-10,SMH Ortigas,SMHOR/Stock,1
,124060-6,SMH Ortigas,SMHOR/Stock,1
,D18118-10,SMH Ortigas,SMHOR/Stock,1
,D18152-10,SMH Ortigas,SMHOR/Stock,1
,D1985-12,SMH Ortigas,SMHOR/Stock,1
,D20064-10,SMH Ortigas,SMHOR/Stock,1
,D17181-10,SMH Ortigas,SMHOR/Stock,1
,124124-8,SMH Ortigas,SMHOR/Stock,2
,124169-10,SMH Ortigas,SMHOR/Stock,1
,124093-10,SMH Ortigas,SMHOR/Stock,1
,125027-11,SMH Ortigas,SMHOR/Stock,1
,125028-11,SMH Ortigas,SMHOR/Stock,1
,924069-1,OH Mall of Asia,OHMOA/Stock,4
,924065-1,OH Mall of Asia,OHMOA/Stock,1
,124042-16,OH Bacoor,OHBCR/Stock,1
,124044-15,OH Bacoor,OHBCR/Stock,1
,D1971-10,OH Bacoor,OHBCR/Stock,1
,D20001-10,OH Bacoor,OHBCR/Stock,1
,824052-31,OH Bacoor,OHBCR/Stock,1
,824049-13,OH Bacoor,OHBCR/Stock,1
,M1536-34,OH Bacoor,OHBCR/Stock,1
,124177-6,OH Bacoor,OHBCR/Stock,1
,D21035-20G,OH Bacoor,OHBCR/Stock,1
,D21038-20,OH Bacoor,OHBCR/Stock,1
,1324230-4,OH Bacoor,OHBCR/Stock,1
,1324231-4,OH Bacoor,OHBCR/Stock,2
,124042-16,OH Cabanatuan,OHCAB/Stock,1
,123092-4,OH Cabanatuan,OHCAB/Stock,3
,123094-4,OH Cabanatuan,OHCAB/Stock,2
,123376-3,OH Cabanatuan,OHCAB/Stock,1
,123377-3,OH Cabanatuan,OHCAB/Stock,1
,123378-3,OH Cabanatuan,OHCAB/Stock,1
,123379-3,OH Cabanatuan,OHCAB/Stock,1
,925010-2,OH Megamall,OHMEG/Stock,1
,925015-1,OH Megamall,OHMEG/Stock,3
,925016-1,OH Megamall,OHMEG/Stock,3
,925017-1,OH Megamall,OHMEG/Stock,2
,1325002-8,OH Megamall,OHMEG/Stock,2
,1325003-8,OH Megamall,OHMEG/Stock,1
,824030-20,OH Megamall,OHMEG/Stock,1
,824046-20,OH Megamall,OHMEG/Stock,2
,123321-16,OH Megamall,OHMEG/Stock,1
,W21431-8,OH Megamall,OHMEG/Stock,2
,1324193-10,OH Megamall,OHMEG/Stock,1
,1123122-1L,OH Megamall,OHMEG/Stock,2
,925010-2,OH Fairview,OHFV/Stock,1
,925014-2,OH Fairview,OHFV/Stock,1
,925015-1,OH Fairview,OHFV/Stock,2
,925016-1,OH Fairview,OHFV/Stock,3
,925017-1,OH Fairview,OHFV/Stock,4
,924069-1,OH Fairview,OHFV/Stock,5
,1324194-8,OH Fairview,OHFV/Stock,1
,W21361-8,OH Fairview,OHFV/Stock,1
,124042-16,OH Fairview,OHFV/Stock,1
,124044-15,OH Fairview,OHFV/Stock,1
,123092-4,OH Fairview,OHFV/Stock,2
,123093-4,OH Fairview,OHFV/Stock,2
,123094-4,OH Fairview,OHFV/Stock,1
,123440-4,OH Fairview,OHFV/Stock,1
,123445-4,OH Fairview,OHFV/Stock,2
,123446-4,OH Fairview,OHFV/Stock,1
,123506-4,OH Fairview,OHFV/Stock,1
,123376-3,OH Fairview,OHFV/Stock,1
,123377-3,OH Fairview,OHFV/Stock,1
,123378-3,OH Fairview,OHFV/Stock,1
,123379-3,OH Fairview,OHFV/Stock,1
,D1941-19G,OH Fairview,OHFV/Stock,1
,D1946-20G,OH Fairview,OHFV/Stock,2
,D21063-7G,OH Fairview,OHFV/Stock,1
,1324153-15,SMH Makati,SMHMK/Stock,1
,W22083-12,SMH Makati,SMHMK/Stock,1
,1125035-1,OH Urdaneta,OHURD/Stock,2
,123440-4,OH Urdaneta,OHURD/Stock,2
,123441-4,OH Urdaneta,OHURD/Stock,2
,123445-4,OH Urdaneta,OHURD/Stock,2
,123446-4,OH Urdaneta,OHURD/Stock,2
,123447-4,OH Urdaneta,OHURD/Stock,1
,123448-4,OH Urdaneta,OHURD/Stock,2
,123506-4,OH Urdaneta,OHURD/Stock,2
,123507-4,OH Urdaneta,OHURD/Stock,2
,123508-4,OH Urdaneta,OHURD/Stock,2
,124055-10,OH Baguio,OHBAG/Stock,1
,124035-10,OH Baguio,OHBAG/Stock,1
,D1941-19G,OH Baguio,OHBAG/Stock,1
,M1653-12,OH Baguio,OHBAG/Stock,2
,923034-3,OH Baguio,OHBAG/Stock,2
,123092-4,OH Urdaneta,OHURD/Stock,2
,M1625-19,OH Urdaneta,OHURD/Stock,1
,M1653-12,OH Urdaneta,OHURD/Stock,2
,1324215-4,OH Urdaneta,OHURD/Stock,1
,1324216-4,OH Urdaneta,OHURD/Stock,3
,1324222-4,OH Urdaneta,OHURD/Stock,1
,1123042-1,OH Urdaneta,OHURD/Stock,2
,W21683-8,OH Urdaneta,OHURD/Stock,1
,W21431-8,OH Urdaneta,OHURD/Stock,2
,1123142-1,OH Urdaneta,OHURD/Stock,1
,1123141-1,OH Urdaneta,OHURD/Stock,1
,1123140-2,OH Urdaneta,OHURD/Stock,1
,925015-1,OH Urdaneta,OHURD/Stock,2
,925017-1,OH Urdaneta,OHURD/Stock,3
,1123142-1,OH Baguio,OHBAG/Stock,1
,1123141-1,OH Baguio,OHBAG/Stock,1
,1123140-2,OH Baguio,OHBAG/Stock,1
,925011-2,OH Baguio,OHBAG/Stock,1
,925013-2,OH Baguio,OHBAG/Stock,1
,925015-1,OH Baguio,OHBAG/Stock,1
,925017-1,OH Baguio,OHBAG/Stock,3
,D1946-20G,OH Baguio,OHBAG/Stock,1
,W21362-8,OH Megamall,OHMEG/Stock,1
,123079-10,OH Megamall,OHMEG/Stock,1
,123262-10,OH Megamall,OHMEG/Stock,1
,123264-10,OH Megamall,OHMEG/Stock,1
,122026-13,OH Megamall,OHMEG/Stock,1
,122052-15,OH Megamall,OHMEG/Stock,1
,123305-10,OH Megamall,OHMEG/Stock,1
,123331-15,OH Megamall,OHMEG/Stock,1
,D20057-13,OH Megamall,OHMEG/Stock,1
,1325004-8,OH Megamall,OHMEG/Stock,2
,1325005-8,OH Megamall,OHMEG/Stock,2
,1123142-1,OH Megamall,OHMEG/Stock,1
,1123141-1,OH Megamall,OHMEG/Stock,1
,1123140-2,OH Megamall,OHMEG/Stock,1
